chall,link,name
crypto1,https://josephsurin.js.org/#/privateposts,Joseph
crypto2,https://josephsurin.js.org/#/privateposts,Joseph
crypto3,https://josephsurin.js.org/#/privateposts,Joseph
crypto4,https://josephsurin.js.org/#/privateposts,Joseph
crypto5,https://josephsurin.js.org/#/privateposts,Joseph
crypto6,https://josephsurin.js.org/#/privateposts,Joseph
crypto7,https://josephsurin.js.org/#/privateposts,Joseph
crypto8,https://josephsurin.js.org/#/privateposts,Joseph
crypto9,https://josephsurin.js.org/#/privateposts,Joseph
crypto10,https://josephsurin.js.org/#/privateposts,Joseph
crypto11,https://josephsurin.js.org/#/privateposts,Joseph
crypto12,https://josephsurin.js.org/#/privateposts,Joseph
crypto14,https://josephsurin.js.org/#/privateposts,Joseph
crypto15,https://josephsurin.js.org/#/privateposts,Joseph
crypto16,https://josephsurin.js.org/#/privateposts,Joseph
rev1,https://josephsurin.js.org/#/privateposts,Joseph
rev5,https://josephsurin.js.org/#/privateposts,Joseph
web1,https://josephsurin.js.org/#/privateposts,Joseph
web2,https://josephsurin.js.org/#/privateposts,Joseph
web3,https://josephsurin.js.org/#/privateposts,Joseph
web4,https://josephsurin.js.org/#/privateposts,Joseph
